path,repo_map_tag,mission_tier,referenced_by,risk_notes,suggested_next_step
archive/analysis/Q-DJ30-3/tag_trades.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/verdict_pre_registration.md,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/dd_protection_trace.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/__init__.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/correlation.py,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/dukascopy_loader.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/dxy_loader.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/event_calendar.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/hurst_phase_a.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/nyfbo_simulator.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/pdsb_simulator.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/pepperstone_spread.py,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/permutation.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/results/h_nyfbo_g1.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/results/h_pdsb_g2.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/results/h_pdsb_g2_phaseA_hurst.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/results/h_pdsb_g2_spread125.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/run_h_nyfbo.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/eurusd_lnyo/run_h_pdsb.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/__init__.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/correlation.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/dukascopy_loader.py,X,P1,basename(5),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/dxy_loader.py,X,P1,basename(5),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/hurst_phase_a.py,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/pepperstone_spread.py,X,P1,basename(7),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/permutation.py,X,P1,basename(7),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/results/h_lorb_g1_phaseA_hurst.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/gbpusd_lon/results/h_lorb_g1_phaseA_robustness.json,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/striker_nas100/q_nas_1_pyramid_hypothesis.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/__init__.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/bar_loader.py,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/permutation.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/results/sentinel_gate.json,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/run_sentinel_gate.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usdchf_sentinel/sentinel_simulator.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/__init__.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/phase1_characterize.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/phase1_clean.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/phase1_fetch.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/phase1_report.py,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/usoil/phase1_verify.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/phase3_directional.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/usoil/stage0_reconcile.py,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/data/tv_exports/USOIL_pepperstone_m15_2025-06-02_to_2026-05-01.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/briefs/Q-DJ30-3/Q-DJ30-3.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/README.md,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/00_gold_regime_shift.png,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/02_rolling_corr.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/03_vol_acf.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/04_session_maps.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/1r_diagnosis.py,X,P1,basename(6),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/README.md,X,P1,basename(13),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/bar_analysis.py,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/bar_data_high_leverage.md,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/correlated_day_check.py,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q11_striker_funnel_decomp.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q11_striker_funnel_decomp.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q11_striker_funnel_drift.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q12_guardian_hour_decomp.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q12_guardian_hour_decomp.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q12_guardian_hour_drift.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q14_adverse_vs_pnl.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q14_adverse_windows_vs_pnl.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q14_daily_portfolio.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q14_trades_with_adverse_flag.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q15_aegis_monthly_vs_vol.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q15_aegis_vol_coupling.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q15_aegis_vol_coupling.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q3_pairwise_joint_tail.py,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/q5_break_window.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/regime_by_year.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/striker_pyramid_decomposition.py,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/archive/worst_joint_days.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/inquire_phase/findings_q_t_2026-04-27.md,X,P1,basename(5),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/inquire_phase/q_t_tuesday_2026_04_27.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/inquire_phase/q_t_tuesday_concurrent_loss_2026_04_27.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/README.md,X,P1,basename(13),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h10_senescence.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h10_senescence.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h10_senescence_rolling.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h1_community_matrix.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h1_community_matrix.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h2_daily_clusters.csv,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h2_regime_clusters.json,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h2_regime_clusters.py,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h3_geometric_uplift.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h3_geometric_uplift.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h4_alpha_decay.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h4_alpha_decay_fit.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h4_alpha_decay_rolling.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h5_changepoint.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h5_changepoint.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h5_rolling_sharpe.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h6_storage_conditions.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h6_storage_conditions.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h6c_conditional_correlations.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h6c_conditional_correlations.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h7_regime_forecast.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h7_regime_forecast.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h8_invasion_fitness.json,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h8_invasion_fitness.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h9_capacity.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/msee/archive/h9_capacity_audit.json,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/B1_inflections.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/B2_event_vs_pervasive.json,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/figures/B1_rolling_corr.png,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/findings.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/findings_2026-04-26.md,X,P1,basename(14),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/findings_2026-04-27.md,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/notice_phase.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/o1_rejected_universe_2026_04_27.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/o3_funnel_rolling_drift_2026_04_27.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/o4_adverse_autocorr_2026_04_27.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/o5_filter_contribution_2026_04_27.py,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/o6_regime_via_conversion_2026_04_27.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/phase0_2026_04_27.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/q_a1_1_aegis_pepperstone_quintile.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/q_a1_2_aegis_pepperstone_q5_drilldown.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/notice_phase/q_a1_aegis_pepperstone_panel.py,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/analysis/skew_audit/2026-04-27.md,X,P1,basename(6),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/data_provenance/2026-04-26_audnzd_oanda_verification.md,X,P1,basename(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_REJECTED.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_acf.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_dow.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_framework_screen.md,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_hurst_rs.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_phase3_equity_aegis.png,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_phase3_equity_rangefade.png,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_phase3_results.json,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_range_trend.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_spread_by_hour.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_structural_characterization.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_structural_results.json,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_audnzd_vol_by_hour.png,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_var_alloc_dd_state_REJECTED.md,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/findings/2026-04-26_var_alloc_observables_stage0.md,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/gate_audits/2026-04-25_q3_halt_rules_design_skew.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/gate_audits/2026-05-02_eurusd_m15_h_nyfbo_kill.md,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/gate_audits/2026-05-02_eurusd_m15_h_pdsb_kill.md,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/gate_audits/2026-05-03_gbpusd_m15_h_lorb_phaseA_abort.md,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/gate_audits/README.md,X,P1,basename(13),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/AMENDMENT_oanda_rescope.md,X,P1,basename(17),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O1_rejected_trades_aegis.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O1_rejected_trades_guardian.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O1_rejected_trades_striker.csv,X,P1,basename(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O2_trade_paths_aegis.csv,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O2_trade_paths_guardian.csv,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O2_trade_paths_striker.csv,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/docs/methodology/archive/identify_corpus/2026-04-26/O3_conversion_funnel_aegis.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
